Amharic,Kistanigna,English,Definition in Amharic
ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  
ሃ,ሃ,,ሃ /ha/ ስ/n. (የመጀመሪያው የክስታንኛ ፊደል ተለዋጭ ቅርፅ) the alternate  (variant) letter to the first Kistaninya alphabet  
ሃላፊ,ሃላፊ,official,"ሃላፊ /halafi/ ስ/n. [1] (ሃላፊ) official, one who is in charge ሉቡ% የድርጅቲ ሃላፊን:: (ሉቡ የድርጅቱ ሃላፊ ነው::) Lubbu is in charge of the organization.  "
ሃላፊነት,ሃላፍትና,responsibility,ሃላፍትና% /halaft³nna/ ስ/n. (ሃላፊነት) responsibility 
ሃሙስ,ሃሙስ,Thursday,ሃሙስ /hamus/ ስ/n. (ሃሙስ) Thursday 
ሃምራዊ,ሃምራዊ,pink ,ሃምራዊ /hamrawi/ ስ/n. (ሃምራዊ) pink 
ሃምሳ,ሃምሳ,,ሃምሳ /hamsa/ ተመልከት see ኣምሳ amsa 
ሽብሽብ,ሃረምረማት,wrinkles,ሃረምረማት /har«mr«mat/ ስ/n. (ሽብሽብ {ወላድ ሴት ሆድ ላይ የሚታይ}) wrinkles (seen on the abdominal part of fertile mothers) 
ሃር,ሃር,silk,ሃር% /harr/ ስ/n. (ሃር) silk 
ኩሬ,ሃሮ,pond,ሃሮ /haro/ ስ/n. (የውሃ ኩሬ) a man- made pond በቃላ ኣባር ዪከፋጐይ የሃሮ ዪጋ ዪሰጩትን:: (በቆላ ኣካባቢ በጋው ሲያይል የኩሬ ውሃ ይጠጣል::) Pond water is used for drinking in lowland areas during the dry seasons.
እቅድ,ሃሳብ,plan,ሃሳ%ብ /hassab/ ስ/n. [1] (ሃሳብ፣እቅድ፣ ኣላማ) plan ቲፍትየ%ን ምን ሃሳ%ብ ይነን%ሆ? (ለወደፊቱ ምን እቅድ ኣለህ?) What is your plan for the future
ሃተታ,ሃተታ,hodge-podge,ሃተታ1 /hat«ta/ ስ/n. (ሃተታ፣ዝብዝብ) hodge-podge 
ኣተታ,ሃተታ,illustration,"ሃተታ2 /hat«ta/ ስ/n. (ሃተታ፣ኣተታ) illustration, commentary "
ሃውልት,ሃውልት,monument,ሃውልት1 /hawëlt/ ስ/n. [1] (ሃውልት {ለሰው ወይም ለታሪካዊ ድርጊት መታሰቢያነት የተሰራ}) a monument (built in commemoration of some historical significance) የነጣነ%ት ሃውልት በኣረት% ኪሎ ዪትገኙ%%፡፡ (የነፃነት ሃውልት ኣራት ኪሎ ይገኛል::) Liberty statue is found at Arat Kilo.
ግንባታ,ሃውልት,,ሃውልት2 /hawëlt/ ስ/n. [1] (ሃውልት {በጥሩ ሁኔታ የተሰራ ግንባታ}) a well-built construction ኣዲ%ስ ያረሹ%ዪ የማይራሚ በቴስታን የዘላለም ሃውልትን፡፡ (ኣዲስ የተሰራው የማርያም በተስኪያን የዘላለም ሃውልት ነው::) The new St. Mary church is a long-lasting construction. 
ሃዋሪያ,ሃዋሪያ,apostle,ሃዋሪያ /hawariya/ ስ/n. [4] (ሃዋሪያ) apostle
ፈዛዛ,ሃዛ ,inattentive,ሃዛ /haza/ ቅ/adj. (ፈዛዛ፣ነባዛ) inattentive ሃዛ ተማሪ ትምርተው ፈያ ቲክታተል፡፡ (ፈዛዛ ተማሪ ትምህርቱን በሚገባ ኣይከታተልም፡፡) An inattentive pupil doesn't follow up his lesson well. 
ሃይለ ስላሴ,ሃይለ ስላሴ,,ሃይለ ስላ%ሴ /hayl« s³llase/ ስ/n. (ከ1923 እስከ 1966 ኣ.ም. ድረስ የኢትዮጵያ ንጉሰ ነገስት የነበሩ) the name of the Ethiopian emperor who ruled the country from 1931- 1974
ሃይማኖት,ሃይማኖት,religion,ሃይማኖት /haymanot/ ስ/n. [1] (ሃይማኖት) religion  
ሃይማኖተኛ,ሃይማኖተኘ,religious,"v ሃይማኖተኘ%/haymanot«ññ«/ ቅ/adj. (ሃይማኖተኛ) religious, pious ኳ ሃይማኖተኘ%ን:: (እሱ ሃይማኖተኛ ነው::) He is a religious person."
ሃጢያት,ሃጢያት,sin,ሃጢያት /hat′yat/ ስ/n. (ሃጢያት) sin ሃጢያት የሌለቦ እዝጌርንጭ:: (ሃጢኣት የሌለ%በት እግዜር ብቻ ነው፡፡) Only God is sinless.
ሃጢኣተኛ,ሃጢያተኘ,sinner,v ሃጢያተኘ% /hat′iyat«ññ«/ ቅ/adj. (ሃጢኣተኛ) sinner
,ሁነኘ,,ሁነኘ% /hun«ññ«/ ተመልከት see ኩነኘ% kun«ññ« 
ኣኳኋን,ሁኔታ,condition,"ሁኔታ /huneta/ ስ/n. [1] (ሁኔታ፣ ኣኳኋን) condition, situation የወጀቢ ሁኔታ ከባ%ድን፡፡ (የማእበሉ ሁኔታ ከባድ ነው::) The condition of the storm is violent. "
ሄዋን,ሄዋን,Eve,ሄዋን /hewan/ ስ/n. (ሄዋን) Eve 
ህሊና,ህሊና, conscience,"ህሊ%ና /h³llina/ ስ/n. (ህሊና፣ኣእምሮ) conscience, mind"
ኣእምሮ,ህሊና,mind,ህሊ%ና /h³llina/ ስ/n. (ኣእምሮ) mind
